date,price,form,interface,speed,gig,sgig,brand,supplier,comment
2020-03-22,249.00,?,USB,"USB 3.0",5000,0.050,Adata,CPL,"ADATA 5TB HD710 PRO USB3.0 Portable External Hard Drive AHD710P-5TU31-CBK"
2020-08-30,265.00,?,USB,"USB 3.0",5000,0.053,Adata,CPL,"ADATA 5TB HD710 PRO USB3.0 Portable External Hard Drive AHD710P-5TU31-CBK"
2020-06-14,269.00,?,USB,"USB 3.0",5000,0.054,Adata,CPL,"ADATA 5TB HD710 PRO USB3.0 Portable External Hard Drive AHD710P-5TU31-CBK"
2020-03-29,275.00,?,USB,"USB 3.0",5000,0.055,Adata,CPL,"ADATA 5TB HD710 PRO USB3.0 Portable External Hard Drive AHD710P-5TU31-CBK"
2020-04-05,285.00,?,USB,"USB 3.0",5000,0.057,Adata,CPL,"ADATA 5TB HD710 PRO USB3.0 Portable External Hard Drive AHD710P-5TU31-CBK"
2020-04-19,299.00,?,USB,"USB 3.0",5000,0.060,Adata,CPL,"ADATA 5TB HD710 PRO USB3.0 Portable External Hard Drive AHD710P-5TU31-CBK"
2019-11-24,25.00,?,USB,"USB 3.1",64,0.391,Adata,CPL,"ADATA 64GB UV310 USB3.1 Flash Drive AUV310-64G-RGD"
2019-10-30,299.00,M.2,NVME,?,960,0.311,Adata,CPL,"ADATA 960GB SSD XPG SX8200 M.2 NVMe ASX8200NP-960GT-C"
2019-11-07,125.00,?,?,?,2000,0.062,Adata,CPL,"ADATA AHD710P-2TU3-CBK 2TB Durable HD710 External Hard Drive"
2019-11-24,85.00,?,USB,"USB 3.1",1000,0.085,Adata,CPL,"ADATA AHV620S-1TU31-CWH HV620S Ultra Slim 1TB External Hard Drive USB 3.1 White"
2019-11-17,27.50,"2.5""",USB,"USB 3.1",?,?,Adata,CPL,"ADATA ED600 Rugged 2.5"" USB3.1 External Enclosure "
2019-11-17,65.00,?,?,?,?,?,Adata,CPL,"ADATA I910-CWH MFi-Certified Lightning Card Reader"
2019-11-07,12.00,MicroSD,SD,?,32,0.375,Adata,CPL,"ADATA Premier 32GB MicroSDHC Card AUSDH32GUICL10-R"
2019-11-07,25.00,MicroSD,SD,?,64,0.391,Adata,CPL,"ADATA Premier 64GB MicroSDXC Card AUSDX64GUICL10-R"
2019-10-30,328.00,"2.5""",SATA?,?,960,0.342,Adata,CPL,"ADATA Premier SP550 2.5"" 960GB SSD ASP550SS3-960GM-C"
2019-11-17,21.00,MicroSD,SD,?,?,?,Adata,CPL,"ADATA USB-C OTG Micro-SD Card Reader ACMR3PL-OTG-RBK"
2019-10-30,30.00,?,SATA,SATA3,128,0.234,Adata,MSY,"ADATA Ultimate SU800 (ASU800SS-128GT-C) 128GB SATA3 3D NAND SSD Solid State DriveCLEARANCE ITEM. Product may be refurbished or ex-demo or missing package/accessories. Please check before purchase."
2019-11-07,129.00,"2.5""",SATA?,?,1000,0.129,ASUS,CPL,"ASUS EHD-A1T/1TB/BLK 1TB FX 2.5In External Hard Drive"
2020-04-19,138.00,"2.5""",SATA?,?,1000,0.138,ASUS,CPL,"ASUS EHD-A1T/1TB/BLK 1TB FX 2.5In External Hard Drive"
2020-03-22,139.00,"2.5""",SATA?,?,1000,0.139,ASUS,CPL,"ASUS EHD-A1T/1TB/BLK 1TB FX 2.5In External Hard Drive"
2019-11-07,169.00,"2.5""",SATA?,?,2000,0.085,ASUS,CPL,"ASUS EHD-A2T/2TB/BLK 2TB FX 2.5In External Hard Drive"
2020-03-22,179.00,"2.5""",SATA?,?,2000,0.089,ASUS,CPL,"ASUS EHD-A2T/2TB/BLK 2TB FX 2.5In External Hard Drive"
2020-04-12,185.00,"2.5""",SATA?,?,2000,0.092,ASUS,CPL,"ASUS EHD-A2T/2TB/BLK 2TB FX 2.5In External Hard Drive"
2020-04-12,200.00,?,?,?,?,?,ASUS,CPL,"ASUS WHD-A2-1TB TRAVELAIR N WHD-A2 WIRELESS HD-1TB"
2019-12-11,79.00,?,?,?,?,?,ASUS,CPL,"ASUS WHD-A2-1TB TRAVELAIR N WHD-A2 WIRELESS HD-1TB"
2020-03-08,85.00,?,?,?,?,?,ASUS,CPL,"ASUS WHD-A2-1TB TRAVELAIR N WHD-A2 WIRELESS HD-1TB"
2019-11-24,89.00,?,?,?,?,?,ASUS,CPL,"ASUS WHD-A2-1TB TRAVELAIR N WHD-A2 WIRELESS HD-1TB"
2019-11-07,99.00,?,?,?,?,?,?,CPL,"ASUS WHD-A2-1TB TRAVELAIR N WHD-A2 WIRELESS HD-1TB"
2019-10-30,59.00,M.2,NVME,?,128,0.461,Adata,CPL,"Adata 128GB SSD XPG SX6000 M.2 NVMe ASX6000NP-128GT"
2019-11-24,279.00,?,USB,"USB 3.1",1000,0.279,Adata,CPL,"Adata 1TB SD700 ASD700-1TU3-CYL Rugged External SSD USB3.1 IP68 Black&Yellow"
2019-10-30,299.00,M.2,NVME,?,1000,0.299,Adata,CPL,"Adata 1TB SSD XPG SX6000 M.2 NVMe ASX6000NP-1TT"
2019-10-30,99.00,M.2,NVME,?,240,0.412,Adata,CPL,"Adata 240G M.2 NVME PCIe SSD ASX8200NP-240GT-C (3200/1700)"
2019-10-30,89.00,M.2,NVME,?,256,0.348,Adata,CPL,"Adata 256GB SSD XPG SX6000 M.2 NVMe ASX6000NP-256GT"
2019-10-30,169.00,M.2,NVME,?,480,0.352,Adata,CPL,"Adata 480G M.2 NVME PCIe SSD ASX8200NP-480GT-C (3200/1700)"
2019-10-30,149.00,M.2,NVME,?,512,0.291,Adata,CPL,"Adata 512GB SSD XPG SX6000 M.2 NVMe ASX6000NP-512GT"
2019-11-24,129.00,"2.5""",SATA?,?,2000,0.065,Adata,CPL,"Adata AHV620S-2TU31-CBK HV620S SLIM 2TB 2.5In USB 3.1"
2019-10-30,65.00,"2.5""",SATA?,?,240,0.271,Adata,CPL,"Adata ASU650SS-240GT-C SU650 240G 2.5"" SSD"
2019-10-30,89.00,"2.5""",SATA?,?,480,0.185,Adata,CPL,"Adata ASU650SS-480GT-C 480G SU650 2.5"" SSD"
2019-10-30,99.00,"2.5""",SATA,SATA,512,0.193,Adata,CPL,"Adata ASU800SS-512GT-C Premier SU800 512G 2.5'' SATA III SSD"
2019-10-30,179.00,M.2,?,?,512,0.350,Adata,CPL,"Adata SP900 512GB M.2280 SSD ASP900NS38-512GM-C"
2019-11-17,25.00,"2.5""",USB,"USB 3.0",?,?,?,CPL,"Aerocool ASA S146000 2.5"" HDD USB3.0 Enclosure ACAG-S146000-11"
2019-11-17,24.50,?,USB,"USB 3.0",?,?,?,CPL,"Alogic VPLU3AMCR USB 3.0 Multi Card Reader"
